G,id_uncertain,id_new,id_alt,id_old,type_x,type_uncertain,context,remnant,SN_year,SN_association,age_min (yr),age_max (yr),distance_min (kpc),distance_max (kpc),size_coarse (arcmin),size_imprecise,size_radio,size_X,J2000_ra (hh:mm:ss),J2000_dec (dd:mm:ss),J2000_from,source_from_x,name,l,b,RA,Dec,size,type_y,flux,s,source_from_y,normalized_name
G000.1-00.1,,,G0.13-0.12,,thermal & plerionic composite,1.0,contains PWN G0.13-0.11,"eje?,PWN",,,,,,,0.7,1.0,,">40"" x ~2""",17:46:30,-28:51:30,paper J coord,snrcat,,,,,,,,,,,
G000.9+00.1,,,,,plerionic composite,,contains PSR J1747-2809 + PWN G0.87+0.08,"eje,PSR,PWN",,,1900.0,1900.0,8.34,10.0,8.0,,8',,17:47:21,-28:09:00,Green J coord,snrcat,G0.9+0.1,0.9,0.1,17 47 21,-28 09,8,C,18?,varies,green,G000.9+00.1
G005.4-01.2,1.0,,Milne 56,"G5.3-1.0, G5.27-0.9",plerionic composite,1.0,offset PSR J1801-2451 = B1757-24 = the Duck + PWN G5.27-0.9,"eje,PSR?,PWN?",,,,,3.89,5.2,35.0,,35',,18:02:10,-24:54:00,Green J coord,snrcat,G5.4-1.2,5.4,-1.2,18 02 10,-24 54,35,C?,35?,0.2?,green,G005.4-01.2
G007.5-01.7,1.0,,,,thermal & plerionic composite,,"contains PWN G7.4-2.0 = Taz, close to PSR J1809-2332","eje,PWN",,,50000.0,50000.0,1.7,2.0,120.0,1.0,~2 deg,8'x5',18:09:00,-23:18:00,paper G name,snrcat,,,,,,,,,,,
G008.7-00.1,,,(W30),G8.6-0.1,thermal & plerionic composite,1.0,"inside W30 complex, PSR J1803-2137 = B1800-21 and PWN G8.40+0.15 at the edge, close to new SNR G8.3-0.0","eje,PSR?,PWN?",,,15000.0,28000.0,3.2,6.0,45.0,,45',,18:05:30,-21:26:00,Green J coord,snrcat,,,,,,,,,,,
G011.1+00.1,,,,G11.18+0.11,plerionic composite,1.0,"contains PSR J1809-1917 + PWN G11.09+0.08, close to SNR G11.2-0.3 with PSR J1811-1925 = the Turtle + PWN G11.18-0.35, close to PSR J1809-1943","eje,PSR,PWN",,,,,,,11.0,,12'x10',6.8',18:09:47,-19:12:00,Green J coord,snrcat,,,,,,,,,,,
G011.2-00.3,,,,,plerionic composite,,"contains PSR J1811-1925 = the Turtle + PWN G11.18-0.35, close to SNR G11.1-1.0 with PSR J1809-1917 + PWN G11.09+0.08, close to PSR J1809-1943","eje,PSR,PWN",386.0,suggested,1400.0,2400.0,3.7,4.7,4.0,,4',,18:11:29,-19:25:25,NS J coord,snrcat,G11.2-0.3,11.2,-0.3,18 11 27,-19 25,4,C,22,0.5,green,G011.2-00.3
G012.5+00.2,,,,G12.58+0.22,plerionic composite,1.0,,eje?,,,,,,,5.5,,6'x5',,18:12:14,-17:55:00,Green J coord,snrcat,G12.5+0.2,12.5,0.2,18 12 14,-17 55,6x5,C?,0.6,0.4,green,G012.5+00.2
G012.8-00.0,,,W33,"G12.82-0.02, G12.83-0.02",plerionic composite,,"close to W33 complex, contains PSR J1813-1749 + PWN G12.82-0.02","eje,PSR?,PWN?",,,1200.0,1200.0,4.0,,3.0,,3',,18:13:37,-17:49:00,Green J coord,snrcat,G12.8-0.0,12.8,-0.0,18 13 37,-17 49,3,C?,0.8,0.5,green,G012.8-00.0
G015.4+00.1,,,,G15.42+0.18,plerionic composite,1.0,contains PWN?,"eje,PWN?",,,2500.0,8200.0,4.8,9.8,15.0,,15'x14',,18:18:02,-15:27:00,Green J coord,snrcat,G15.4+0.1,15.4,0.1,18 18 02,-15 27,15x14,C?,5.6,0.62,green,G015.4+00.1
