G,context,pulsar/CCO(centre compact object),uncertain-pulsar
G000.1-00.1,contains PWN G0.13-0.11,,0/1
G000.9+00.1,contains PSR J1747-2809 + PWN G0.87+0.08,PSR J1747-2809,
G005.4-01.2,offset PSR J1801-2451 = B1757-24 = the Duck + PWN G5.27-0.9,,
G007.5-01.7,"contains PWN G7.4-2.0 = Taz, close to PSR J1809-2332",,
G008.7-00.1,"inside W30 complex, PSR J1803-2137 = B1800-21 and PWN G8.40+0.15 at the edge, close to new SNR G8.3-0.0",,
G011.1+00.1,"contains PSR J1809-1917 + PWN G11.09+0.08, close to SNR G11.2-0.3 with PSR J1811-1925 = the Turtle + PWN G11.18-0.35, close to PSR J1809-1943",,
G011.2-00.3,"contains PSR J1811-1925 = the Turtle + PWN G11.18-0.35, close to SNR G11.1-1.0 with PSR J1809-1917 + PWN G11.09+0.08, close to PSR J1809-1943",,
G012.5+00.2,,,
G012.8-00.0,"close to W33 complex, contains PSR J1813-1749 + PWN G12.82-0.02",,
G015.4+00.1,contains PWN?,,
G016.7+00.1,"contains PWN G16.73+0.08, and PSR?",,
G018.9-01.1,contains PWN and PSR candidate CXOU J182913.1-125113,,
G021.5-00.9,contains PSR J1833-1034 + PWN G21.50-0.89,,
G024.7+00.6,"contains PWN?, adjacent to HII regions",,
G025.2+00.3,"contains PSR J1838-0655 + PWN G25.24-0.19 = AX J1838.0-0655, PWN candidate G25.21-0.02 = AX J1837.3-0652, adjacent to massive star cluster",,
G029.4+00.1,"PWN in complex radio source G29.37+0.1, close to radio galaxy PMN J1844-0306",,
G029.7-00.3,contains high-B PSR J1846-0258 (magnetar?) + PWN,,
G034.7-00.4,"inside W48 complex, contains PSR B1853+01 = J1856+0113 + PWN G34.56-0.50",,
G039.2-00.3,contains PWN G39.22-0.32,,
G054.1+00.3,contains PSR J1930+1852 + PWN G54.10+0.27,,
G069.0+02.7,contains PSR B1951+32 = J1952+3252 + PWN G68.77+2.82,,
G076.9+01.0,contains PSR J2022+3842 + PWN,,
G078.2+02.1,"PSR J2021+4026 at the edge + PWN G78.23+2.09, unrelated stellar wind bubble inside?",,
G093.3+06.9,contains PWN?,,
G106.3+02.7,contains PSR J2229+6114 and PWN G106.65+2.96 = the Boomerang,,
G119.5+10.2,contains PSR J0007+7303 + PWN G119.65+10.46,,
G130.7+03.1,PWN 3C58 and PSR J0205+6449,,
G180.0-01.7,contains PSR J0538+2817 and PWN G179.72-1.69,,
G189.1+03.0,"next to HII region S249, overlaps SNR G189.6+03.3, contains runaway NS CXOU J061705.3+222127 + PWN G189.23+2.90",,
G189.6+03.3,"overlaps SNR G189.1+03.0 = IC443, contains PSR + PWN ?",,
G263.9-03.3,"overlaps SNR G260.4-3.4 and SNR G266.2-1.2, contains PSR B0833-45 = J0835-4510 = Vela + PWN Vela X (unrelated to eclipsing binary Vela X-1)",,
G291.0-00.1,contains PWN G291.02-0.11 + PSR candidate CXOU J111148.6-603926,,
G292.0+01.8,contains PSR J1124-5916 + PWN G292.04+1.75,,
G292.2-00.5,contains high-B PSR J1119-6127 + PWN G292.15-0.54,,
G293.8+00.6,contains PWN G293.79+0.58? and PSR J1135-6055 (related?),,
G308.8-00.1,contains PSR J1341-6220 = B1338-62 + PWN,,
G310.6-01.6,contains PSR J1400-6325 + PWN,,
G315.9-00.0,contains PSR J1437-5959 + PWN G315.78-0.23 = the Frying Pan,,
G318.9+00.4,contains PWN?,,
G320.4-01.2,"overlaps SNR G320.6-01.6, contains PSR J1513-5908 = B1509-58 = the Dragon + PWN = the Jellyfish",,
G322.5-00.1,"contains PWN?, contains planetary nebula Pe 2-8",,
G326.3-01.8,contains PWN G326.12-1.81,,
G327.1-01.1,contains PWN G327.15-1.04 = the Snail,,
G337.2+00.1,contains PWN?,,
G338.3-00.0,"contains PSR J1640-4631 and PWN G338.3-0.0, connected to SNR G338.5+00.1 by HII region G338.45+0.06",,
G341.2+00.9,contains PSR J1646-4346 = B1643-43 + PWN,,
G343.1-02.3,PSR J1709-4429 = B1706-44 + PWN G343.10-2.69 near the edge,,
G351.2+00.1,,,
G354.1+00.1,PSR J1730-3350 = B1727-33 at the edge,,
